equipamento_id,periodo,condicao_ambiente,modo_operacao,score_base,fator_ambiente,fator_operacao,score_risco,classificacao,fator_principal,alerta
Caminhão do Francisco 3,Abril 2026,-,-,23,1.0,1.0,23,BAIXO,Dificuldade da rota,[OK] Caminhão do Francisco 3: risco 23 - dentro do esperado.
Caminhão da Teresa,Abril 2026,-,-,63,1.0,1.0,63,ALTO,Estilo de condução,[ALERTA] Caminhão da Teresa: risco 63 - agendar inspeção em breve.
Caminhão do Eduardo 2,Abril 2026,-,-,55,1.0,1.0,55,ALTO,Estilo de condução,[ALERTA] Caminhão do Eduardo 2: risco 55 - agendar inspeção em breve.
Caminhão do Paulo 6,Abril 2026,-,-,37,1.0,1.0,37,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Paulo 6: risco 37 - monitorar na próxima vistoria.
Caminhão do Tiago 3,Abril 2026,-,-,37,1.0,1.0,37,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Tiago 3: risco 37 - monitorar na próxima vistoria.
Caminhão da Larissa 3,Abril 2026,-,-,51,1.0,1.0,51,ALTO,Desaceleração/frenagem brusca,[ALERTA] Caminhão da Larissa 3: risco 51 - agendar inspeção em breve.
Caminhão da Érica 3,Abril 2026,-,-,23,1.0,1.0,23,BAIXO,Dificuldade da rota,[OK] Caminhão da Érica 3: risco 23 - dentro do esperado.
Caminhão do Gustavo 4,Abril 2026,-,-,36,1.0,1.0,36,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Gustavo 4: risco 36 - monitorar na próxima vistoria.
Caminhão da Fernanda,Abril 2026,-,-,18,1.0,1.0,18,BAIXO,Dificuldade da rota,[OK] Caminhão da Fernanda: risco 18 - dentro do esperado.
Caminhão do Gabriel 2,Abril 2026,-,-,33,1.0,1.0,33,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Gabriel 2: risco 33 - monitorar na próxima vistoria.
Caminhão do Miguel,Abril 2026,-,-,45,1.0,1.0,45,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Miguel: risco 45 - monitorar na próxima vistoria.
Caminhão da Sandra 2,Abril 2026,-,-,52,1.0,1.0,52,ALTO,Estilo de condução,[ALERTA] Caminhão da Sandra 2: risco 52 - agendar inspeção em breve.
Caminhão da Vanessa 3,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Vanessa 3: risco 41 - monitorar na próxima vistoria.
Caminhão da Patrícia 5,Abril 2026,-,-,38,1.0,1.0,38,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Patrícia 5: risco 38 - monitorar na próxima vistoria.
Caminhão do Davi 3,Abril 2026,-,-,37,1.0,1.0,37,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Davi 3: risco 37 - monitorar na próxima vistoria.
Caminhão do Miguel 3,Abril 2026,-,-,49,1.0,1.0,49,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Miguel 3: risco 49 - monitorar na próxima vistoria.
Caminhão do José 6,Abril 2026,-,-,45,1.0,1.0,45,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do José 6: risco 45 - monitorar na próxima vistoria.
Caminhão do Tadeu 4,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Tadeu 4: risco 41 - monitorar na próxima vistoria.
Caminhão da Daniela 4,Abril 2026,-,-,36,1.0,1.0,36,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Daniela 4: risco 36 - monitorar na próxima vistoria.
Caminhão do Gabriel 3,Abril 2026,-,-,49,1.0,1.0,49,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Gabriel 3: risco 49 - monitorar na próxima vistoria.
Caminhão da Giovana,Abril 2026,-,-,37,1.0,1.0,37,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Giovana: risco 37 - monitorar na próxima vistoria.
Caminhão do Zeca 5,Abril 2026,-,-,27,1.0,1.0,27,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Zeca 5: risco 27 - monitorar na próxima vistoria.
Caminhão do Lucas 6,Abril 2026,-,-,30,1.0,1.0,30,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Lucas 6: risco 30 - monitorar na próxima vistoria.
Caminhão do Marcelo 4,Abril 2026,-,-,38,1.0,1.0,38,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Marcelo 4: risco 38 - monitorar na próxima vistoria.
Caminhão do Fernando 5,Abril 2026,-,-,57,1.0,1.0,57,ALTO,Estilo de condução,[ALERTA] Caminhão do Fernando 5: risco 57 - agendar inspeção em breve.
Caminhão da Carla 4,Abril 2026,-,-,45,1.0,1.0,45,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Carla 4: risco 45 - monitorar na próxima vistoria.
Caminhão do Saulo 5,Abril 2026,-,-,37,1.0,1.0,37,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Saulo 5: risco 37 - monitorar na próxima vistoria.
Caminhão da Renata 5,Abril 2026,-,-,53,1.0,1.0,53,ALTO,Estilo de condução,[ALERTA] Caminhão da Renata 5: risco 53 - agendar inspeção em breve.
Caminhão da Úrsula 5,Abril 2026,-,-,39,1.0,1.0,39,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Úrsula 5: risco 39 - monitorar na próxima vistoria.
Caminhão do Felipe 3,Abril 2026,-,-,51,1.0,1.0,51,ALTO,Estilo de condução,[ALERTA] Caminhão do Felipe 3: risco 51 - agendar inspeção em breve.
Caminhão do Marcelo 5,Abril 2026,-,-,43,1.0,1.0,43,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Marcelo 5: risco 43 - monitorar na próxima vistoria.
Caminhão do Márcio 2,Abril 2026,-,-,37,1.0,1.0,37,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Márcio 2: risco 37 - monitorar na próxima vistoria.
Caminhão da Renata,Abril 2026,-,-,50,1.0,1.0,50,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Renata: risco 50 - monitorar na próxima vistoria.
Caminhão do Renato 4,Abril 2026,-,-,40,1.0,1.0,40,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Renato 4: risco 40 - monitorar na próxima vistoria.
Caminhão da Joana 3,Abril 2026,-,-,44,1.0,1.0,44,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Joana 3: risco 44 - monitorar na próxima vistoria.
Caminhão da Juliana 5,Abril 2026,-,-,32,1.0,1.0,32,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Juliana 5: risco 32 - monitorar na próxima vistoria.
Caminhão do Tadeu 2,Abril 2026,-,-,40,1.0,1.0,40,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Tadeu 2: risco 40 - monitorar na próxima vistoria.
Caminhão do Yuri,Abril 2026,-,-,54,1.0,1.0,54,ALTO,Estilo de condução,[ALERTA] Caminhão do Yuri: risco 54 - agendar inspeção em breve.
Caminhão da Ana 2,Abril 2026,-,-,38,1.0,1.0,38,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão da Ana 2: risco 38 - monitorar na próxima vistoria.
Caminhão da Vanessa,Abril 2026,-,-,46,1.0,1.0,46,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Vanessa: risco 46 - monitorar na próxima vistoria.
Caminhão da Marta 2,Abril 2026,-,-,39,1.0,1.0,39,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Marta 2: risco 39 - monitorar na próxima vistoria.
Caminhão da Isabela 5,Abril 2026,-,-,30,1.0,1.0,30,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Isabela 5: risco 30 - monitorar na próxima vistoria.
Caminhão da Larissa 4,Abril 2026,-,-,43,1.0,1.0,43,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Larissa 4: risco 43 - monitorar na próxima vistoria.
Caminhão do Pedro 6,Abril 2026,-,-,47,1.0,1.0,47,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Pedro 6: risco 47 - monitorar na próxima vistoria.
Caminhão do Valter 3,Abril 2026,-,-,57,1.0,1.0,57,ALTO,Estilo de condução,[ALERTA] Caminhão do Valter 3: risco 57 - agendar inspeção em breve.
Caminhão do Fernando 2,Abril 2026,-,-,57,1.0,1.0,57,ALTO,Estilo de condução,[ALERTA] Caminhão do Fernando 2: risco 57 - agendar inspeção em breve.
Caminhão do Caio 3,Abril 2026,-,-,36,1.0,1.0,36,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Caio 3: risco 36 - monitorar na próxima vistoria.
Caminhão do Benedito 4,Abril 2026,-,-,38,1.0,1.0,38,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Benedito 4: risco 38 - monitorar na próxima vistoria.
Caminhão do Valter 5,Abril 2026,-,-,45,1.0,1.0,45,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Valter 5: risco 45 - monitorar na próxima vistoria.
Caminhão do André 4,Abril 2026,-,-,47,1.0,1.0,47,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do André 4: risco 47 - monitorar na próxima vistoria.
Caminhão do Roberto 6,Abril 2026,-,-,54,1.0,1.0,54,ALTO,Estilo de condução,[ALERTA] Caminhão do Roberto 6: risco 54 - agendar inspeção em breve.
Caminhão do Eduardo,Abril 2026,-,-,56,1.0,1.0,56,ALTO,Estilo de condução,[ALERTA] Caminhão do Eduardo: risco 56 - agendar inspeção em breve.
Caminhão do Carlos 6,Abril 2026,-,-,31,1.0,1.0,31,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão do Carlos 6: risco 31 - monitorar na próxima vistoria.
Caminhão do Joaquim 4,Abril 2026,-,-,35,1.0,1.0,35,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Joaquim 4: risco 35 - monitorar na próxima vistoria.
Caminhão do Francisco 2,Abril 2026,-,-,46,1.0,1.0,46,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Francisco 2: risco 46 - monitorar na próxima vistoria.
Caminhão do Zeca,Abril 2026,-,-,41,1.0,1.0,41,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Zeca: risco 41 - monitorar na próxima vistoria.
Caminhão da Lúcia 2,Abril 2026,-,-,38,1.0,1.0,38,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Lúcia 2: risco 38 - monitorar na próxima vistoria.
Caminhão do Mateus 6,Abril 2026,-,-,42,1.0,1.0,42,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Mateus 6: risco 42 - monitorar na próxima vistoria.
Caminhão da Maria 4,Abril 2026,-,-,29,1.0,1.0,29,MODERADO,Dificuldade da rota,[ATENÇÃO] Caminhão da Maria 4: risco 29 - monitorar na próxima vistoria.
Caminhão do Antônio,Abril 2026,-,-,45,1.0,1.0,45,MODERADO,Estilo de condução,[ATENÇÃO] Caminhão do Antônio: risco 45 - monitorar na próxima vistoria.
Caminhão do Francisco 4,Abril 2026,-,-,39,1.0,1.0,39,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão do Francisco 4: risco 39 - monitorar na próxima vistoria.
Caminhão do Heitor 2,Abril 2026,-,-,63,1.0,1.0,63,ALTO,Estilo de condução,[ALERTA] Caminhão do Heitor 2: risco 63 - agendar inspeção em breve.
Caminhão do José 4,Abril 2026,-,-,58,1.0,1.0,58,ALTO,Estilo de condução,[ALERTA] Caminhão do José 4: risco 58 - agendar inspeção em breve.
Caminhão do Jorge,Abril 2026,-,-,51,1.0,1.0,51,ALTO,Estilo de condução,[ALERTA] Caminhão do Jorge: risco 51 - agendar inspeção em breve.
Caminhão do Yuri 4,Abril 2026,-,-,54,1.0,1.0,54,ALTO,Estilo de frenagem,[ALERTA] Caminhão do Yuri 4: risco 54 - agendar inspeção em breve.
Caminhão do Márcio 3,Abril 2026,-,-,62,1.0,1.0,62,ALTO,Estilo de condução,[ALERTA] Caminhão do Márcio 3: risco 62 - agendar inspeção em breve.
Caminhão da Natália 5,Abril 2026,-,-,36,1.0,1.0,36,MODERADO,Desaceleração/frenagem brusca,[ATENÇÃO] Caminhão da Natália 5: risco 36 - monitorar na próxima vistoria.
